client_id,message_id,response_time_ms,leaf_node
3,Client-3-c82a9019-344c-4683-a656-1e79c53a7481,0.28229999588802457,LN5
2,Client-2-8685ea53-8410-4d01-b820-3f6d0a6a6e44,0.21389999892562628,LN3
3,Client-3-c82a9019-344c-4683-a656-1e79c53a7481,0.8678000303916633,LN6
2,Client-2-8685ea53-8410-4d01-b820-3f6d0a6a6e44,0.7310999790206552,LN4
4,Client-4-791e9ea0-5189-4f99-a94e-a26a276d367c,0.3420999855734408,LN7
5,Client-5-3386d9dd-c3b4-4cc5-a864-a3737eccfc4d,0.2626000205054879,LN8
1,Client-1-b0362c76-5df4-4421-864c-88469f6e2344,0.2706999657675624,LN1
1,Client-1-b0362c76-5df4-4421-864c-88469f6e2344,1.1898999800905585,LN2
6,Client-6-97cb5dee-1429-4e52-bdb1-67e315201f1a,0.29180001001805067,LN9
7,Client-7-72c8ae02-51d2-4940-bc14-966e9c94591c,0.7794999983161688,LN10
2,Client-2-fb3d045c-be1c-4ace-aa14-b940aaed8ebc,0.2639999729581177,LN3
3,Client-3-8496be02-010f-4e7e-b912-0b1f9766762a,0.24919997667893767,LN5
3,Client-3-8496be02-010f-4e7e-b912-0b1f9766762a,1.7417999915778637,LN6
5,Client-5-3a9d601b-5f0b-416a-ad01-f1178c5ddfc5,0.7825999637134373,LN8
4,Client-4-cf5bd369-e65b-416f-af01-298b0b3908b8,0.8418000070378184,LN7
1,Client-1-6911046e-b4c5-4f1c-a4fa-f23c43256133,0.22739998530596495,LN1
2,Client-2-fb3d045c-be1c-4ace-aa14-b940aaed8ebc,2.3560000117868185,LN4
1,Client-1-6911046e-b4c5-4f1c-a4fa-f23c43256133,0.6187999970279634,LN2
7,Client-7-f8376ba3-cb32-4358-8017-95c5b88d2107,0.30640000477433205,LN10
6,Client-6-59d29ab2-7d92-49f6-a310-9acb50033b0d,0.22330001229420304,LN9
2,Client-2-7dbde53d-74cd-4d88-a3d7-b1d42dfb4b25,1.0194999631494284,LN3
3,Client-3-e53f9c7d-5e46-4f8d-8840-4ccf2b9ba0ff,0.9716000058688223,LN5
4,Client-4-e3717d85-c151-454e-9329-f45eda017509,0.43569999979808927,LN7
5,Client-5-e5b7f562-3d14-4a22-b513-8b2a6b99e30f,0.5089000333100557,LN8
1,Client-1-515b7b04-63d5-49d0-9108-00464f571524,0.29150000773370266,LN1
2,Client-2-7dbde53d-74cd-4d88-a3d7-b1d42dfb4b25,1.8005999736487865,LN4
6,Client-6-ba7ed073-3086-41f5-a08c-6219492fe2c7,0.37970003904774785,LN9
7,Client-7-2c036a1c-d63e-4fe9-aa51-2488b7595d3a,0.3510999958962202,LN10
1,Client-1-515b7b04-63d5-49d0-9108-00464f571524,1.5626000240445137,LN2
3,Client-3-e53f9c7d-5e46-4f8d-8840-4ccf2b9ba0ff,4.747600003611296,LN6
2,Client-2-b2cc0ba5-d3a7-44b5-bef3-deec3e99dfc0,0.34829997457563877,LN3
2,Client-2-b2cc0ba5-d3a7-44b5-bef3-deec3e99dfc0,1.166399975772947,LN4
3,Client-3-48a65fdb-48e5-440a-8468-6a8ffaffd112,0.6495999987237155,LN5
5,Client-5-4b47e3d6-7221-48dd-b689-3025a71c8f90,0.4550999728962779,LN8
1,Client-1-bcdba853-e47b-4c32-9daf-92413992dcb0,0.3651999868452549,LN1
3,Client-3-48a65fdb-48e5-440a-8468-6a8ffaffd112,1.2901999871246517,LN6
6,Client-6-2f84e5ea-2651-4248-9be1-98b0b9a135a3,0.28989999555051327,LN9
1,Client-1-bcdba853-e47b-4c32-9daf-92413992dcb0,0.907599984202534,LN2
4,Client-4-0a91c0ff-0ec6-41e3-9913-f9acbae17c58,0.44510001316666603,LN7
