client_id,message_id,response_time_ms,leaf_node
1,Client-1-af63b0b0-858a-45c4-a23d-7bc1aa7267b0,0.15979999443516135,LN1
3,Client-3-6659798b-963e-411e-aef4-654c8ebfb204,0.1210999907925725,LN5
1,Client-1-af63b0b0-858a-45c4-a23d-7bc1aa7267b0,0.6430999492295086,LN2
4,Client-4-47cdcc07-5704-4433-93c7-f3ed8590a1fe,0.21299999207258224,LN7
2,Client-2-0af2a2fe-85b9-4305-a38a-4586e5ba4c03,0.13319996651262045,LN3
3,Client-3-6659798b-963e-411e-aef4-654c8ebfb204,0.8320999913848937,LN6
2,Client-2-0af2a2fe-85b9-4305-a38a-4586e5ba4c03,0.5642999894917011,LN4
1,Client-1-5df44b9a-e52e-47dc-83bb-01d8b2693ab7,0.24550000671297312,LN1
1,Client-1-5df44b9a-e52e-47dc-83bb-01d8b2693ab7,0.40229997830465436,LN2
3,Client-3-de1f08b3-59f1-4eba-bca0-0fcac0ad3ef0,0.17549999756738544,LN5
4,Client-4-d5a7a77a-4940-4481-b759-129a0d760ed0,0.1531000016257167,LN7
3,Client-3-de1f08b3-59f1-4eba-bca0-0fcac0ad3ef0,0.5484999855980277,LN6
2,Client-2-7c1a1255-4469-4912-aa18-cbd0863af33d,0.11780002387240529,LN3
2,Client-2-7c1a1255-4469-4912-aa18-cbd0863af33d,0.23830001009628177,LN4
1,Client-1-485924fb-a207-4a64-a897-0f64f340b130,0.2060999977402389,LN1
1,Client-1-485924fb-a207-4a64-a897-0f64f340b130,0.47150003956630826,LN2
4,Client-4-2c9b40f7-2019-4def-8bd2-5e0aab821d6c,0.2452000044286251,LN7
3,Client-3-f1d4305d-62c2-4155-a33e-871fcec1f08f,0.32210000790655613,LN5
2,Client-2-b6cf4814-cef7-4008-a712-894ed56644bf,0.22469996474683285,LN3
3,Client-3-f1d4305d-62c2-4155-a33e-871fcec1f08f,0.6942999898456037,LN6
2,Client-2-b6cf4814-cef7-4008-a712-894ed56644bf,0.5884999991394579,LN4
1,Client-1-3f9132d0-6ecd-4e8d-bfb0-d7ea60fbb909,0.5026999861001968,LN1
4,Client-4-5da583d3-9a85-4dc0-9e94-225c07eb8906,0.22879999596625566,LN7
1,Client-1-3f9132d0-6ecd-4e8d-bfb0-d7ea60fbb909,0.7608999731019139,LN2
