client_id,message_id,response_time_ms,leaf_node,category
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-54e00241-d23e-47f1-9b0c-222da6240833,0.0,LN2,Same Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-1020cc08-10c4-4a5c-9818-db9fab3b972f,1.5704631805419922,LN2,Different Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-54e00241-d23e-47f1-9b0c-222da6240833,2.759218215942383,LN3,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-1020cc08-10c4-4a5c-9818-db9fab3b972f,6.171941757202148,LN3,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-8741624c-858c-44bf-805a-c9d602c7dc5a,0.0,LN2,Same Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-18a2f046-84fe-43e7-a5ce-08d55ed03847,1.0528564453125,LN2,Different Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-8741624c-858c-44bf-805a-c9d602c7dc5a,3.717660903930664,LN3,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-18a2f046-84fe-43e7-a5ce-08d55ed03847,3.827333450317383,LN3,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-42da259b-f54a-4a2b-b8ad-1ddd1201e325,0.0,LN2,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-42da259b-f54a-4a2b-b8ad-1ddd1201e325,3.215551376342773,LN3,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-1ae5c168-149f-4ccd-96fa-0b4e523f9596,3.580808639526367,LN2,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-1ae5c168-149f-4ccd-96fa-0b4e523f9596,6.936550140380859,LN3,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-edda203f-26f0-4c76-93e7-ee80e0e0f427,0.0,LN2,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-edda203f-26f0-4c76-93e7-ee80e0e0f427,2.2003650665283203,LN3,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-310b3778-fe35-4099-b507-36b55b667913,1.7418861389160156,LN2,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-310b3778-fe35-4099-b507-36b55b667913,5.550384521484375,LN3,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-6022e1ec-29b2-42bd-8ae0-a25f695fc2be,0.0,LN2,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-6022e1ec-29b2-42bd-8ae0-a25f695fc2be,1.610517501831055,LN3,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-49b231be-9fd3-443f-abf7-50b2212ad64c,1.071453094482422,LN2,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-49b231be-9fd3-443f-abf7-50b2212ad64c,4.264593124389648,LN3,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-d1dcfd6c-089e-4b45-9c21-3697719900d3,0.0,LN2,Same Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-8c12b4ce-4a3b-48b2-a1cc-61bac49f7633,1.0845661163330078,LN2,Different Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-d1dcfd6c-089e-4b45-9c21-3697719900d3,2.707481384277344,LN3,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-8c12b4ce-4a3b-48b2-a1cc-61bac49f7633,3.778219223022461,LN3,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-cc4c851d-b799-4ae5-8a40-26ba1c70bd30,0.5066394805908203,LN2,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-cc4c851d-b799-4ae5-8a40-26ba1c70bd30,2.54058837890625,LN3,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-430665ef-6aa5-4252-b998-d4d4ec958a7b,2.0339488983154297,LN2,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-430665ef-6aa5-4252-b998-d4d4ec958a7b,4.721164703369141,LN3,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-c0a728b7-4515-4b18-86be-ff435d240b58,0.5943775177001953,LN2,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-c0a728b7-4515-4b18-86be-ff435d240b58,2.781391143798828,LN3,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-7e51e8fb-5f5f-44e3-881d-7c8c1d7a0d3f,2.269983291625977,LN2,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-7e51e8fb-5f5f-44e3-881d-7c8c1d7a0d3f,5.899667739868164,LN3,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-fd5984c5-fa1c-4df8-91e1-948cd57a4dd7,0.5197525024414062,LN2,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-fd5984c5-fa1c-4df8-91e1-948cd57a4dd7,2.105236053466797,LN3,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-05cce1a8-71ac-49e1-9970-a938aa8d2b2d,1.5854835510253906,LN2,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-05cce1a8-71ac-49e1-9970-a938aa8d2b2d,3.6666393280029297,LN3,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-c368544f-488f-462e-97f5-133743311885,0.5109310150146484,LN2,Same Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-3571256f-4d62-4902-95c7-6065393f9998,1.6298294067382812,LN2,Different Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-c368544f-488f-462e-97f5-133743311885,4.351377487182617,LN3,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-3571256f-4d62-4902-95c7-6065393f9998,5.52058219909668,LN3,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-1756c5f9-c347-49e6-bf05-c5afd9e37110,0.0,LN2,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-1756c5f9-c347-49e6-bf05-c5afd9e37110,1.5492439270019531,LN3,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-f988095a-5e22-4f5d-86dd-f8c774ddd921,0.5269050598144531,LN2,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-f988095a-5e22-4f5d-86dd-f8c774ddd921,2.179384231567383,LN3,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-2a2966fe-c902-456d-a74b-9122319f342c,0.1606941223144531,LN2,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-2a2966fe-c902-456d-a74b-9122319f342c,1.7230510711669922,LN3,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-f8082606-c105-4ec3-b638-59e3d240952d,0.5404949188232422,LN2,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-f8082606-c105-4ec3-b638-59e3d240952d,3.2045841217041016,LN3,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-554d00de-dd09-4011-9999-7768877fbc53,0.143289566040039,LN2,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-554d00de-dd09-4011-9999-7768877fbc53,2.228975296020508,LN3,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-0e93a266-7147-49cc-9d9a-71e5d0404040,1.586198806762695,LN2,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-0e93a266-7147-49cc-9d9a-71e5d0404040,2.647876739501953,LN3,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-6a539aa1-a68e-4cf3-916a-3daecb6b9f1c,0.0,LN2,Same Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-fac4bbc8-8f53-4ec6-a5be-1d6626f7daf5,0.0,LN2,Different Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-6a539aa1-a68e-4cf3-916a-3daecb6b9f1c,3.232717514038086,LN3,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-fac4bbc8-8f53-4ec6-a5be-1d6626f7daf5,3.271818161010742,LN3,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-239c34cd-b3d1-4ba2-b222-f9ee3c512777,0.1986026763916015,LN2,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-239c34cd-b3d1-4ba2-b222-f9ee3c512777,2.3353099822998047,LN3,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-b62be86b-282b-4b2f-ba01-a854e2f04a96,0.0,LN2,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-b62be86b-282b-4b2f-ba01-a854e2f04a96,2.648353576660156,LN3,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-939a0123-096d-4940-a3e4-18f564660aef,0.1671314239501953,LN2,Same Super-Peer
1,TestClient-1-829db45d-421e-4ea4-a182-39cb9841c12b-939a0123-096d-4940-a3e4-18f564660aef,1.2066364288330078,LN3,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-300d5b51-8820-4b07-883a-ddb68d9a047e,0.0,LN2,Different Super-Peer
2,TestClient-2-d22cb885-1bc7-449e-871b-458e14a1ef64-300d5b51-8820-4b07-883a-ddb68d9a047e,2.1219253540039062,LN3,Same Super-Peer
