client_id,message_id,response_time_ms,leaf_node,category
3,TestClient-3-6927be49-9204-4b77-986c-9fec6826173e-ea28d610-6030-41d5-b9ab-1502282e1156,1.80959701538086,LN2,Different Super-Peer
3,TestClient-3-6927be49-9204-4b77-986c-9fec6826173e-ea28d610-6030-41d5-b9ab-1502282e1156,2.831697463989258,LN3,Different Super-Peer
5,TestClient-5-33789866-049b-487c-b584-4d8bc5247e06-c6b92554-f8e5-4d1d-a4cc-0052c3a7d3e0,1.5392303466796875,LN2,Different Super-Peer
1,TestClient-1-a0891d5c-5e2e-43fa-9ffc-30f2d48358a7-500a5544-2ffc-4efc-97fe-8a9643ef8387,3.6160945892333984,LN2,Same Super-Peer
8,TestClient-8-a61707ac-1ccb-430c-94db-eb8adf7d159a-a3a2439e-2291-4ad9-a852-5495c46124ff,6.855010986328125,LN2,Different Super-Peer
7,TestClient-7-1eda5332-4763-4197-a795-5b25fe8799c5-528a7bb2-1bee-42ce-8451-149229a9bd0c,10.99562644958496,LN2,Different Super-Peer
2,TestClient-2-dc50c150-2e4b-418a-9461-f85772da53f3-cc15a7ed-67a0-4c1e-aba6-4e3f3ff545c2,11.49606704711914,LN2,Different Super-Peer
4,TestClient-4-0613ec28-a0e9-4b89-9514-8e123392ad61-b06ad087-cbbe-4fa0-9d2c-de2a0701a0f2,13.576507568359377,LN2,Different Super-Peer
5,TestClient-5-33789866-049b-487c-b584-4d8bc5247e06-c6b92554-f8e5-4d1d-a4cc-0052c3a7d3e0,18.73922348022461,LN3,Different Super-Peer
6,TestClient-6-9f4bb06b-6bb9-4b69-833a-6133e84626af-9a1ae9a5-e620-4b2c-8689-516d37c05f64,13.043642044067385,LN2,Different Super-Peer
3,TestClient-3-6927be49-9204-4b77-986c-9fec6826173e-999f0f74-b164-4b8e-9239-b0efe8df5cdb,12.037277221679688,LN2,Different Super-Peer
8,TestClient-8-a61707ac-1ccb-430c-94db-eb8adf7d159a-9f1ec0f2-18f7-4b82-b593-136e83bb4430,14.178037643432615,LN2,Different Super-Peer
5,TestClient-5-33789866-049b-487c-b584-4d8bc5247e06-807046d1-9b0a-48c1-a820-8a57129cb9e8,16.331195831298828,LN2,Different Super-Peer
1,TestClient-1-a0891d5c-5e2e-43fa-9ffc-30f2d48358a7-e22205ad-7d8c-414d-8e07-9efa1d3a7192,17.885208129882812,LN2,Same Super-Peer
7,TestClient-7-1eda5332-4763-4197-a795-5b25fe8799c5-6df0d080-e494-41fb-87b3-2ca6f8cddbfa,20.47371864318848,LN2,Different Super-Peer
2,TestClient-2-dc50c150-2e4b-418a-9461-f85772da53f3-170a9d30-7674-4282-913a-548c0c843cbd,21.01302146911621,LN2,Different Super-Peer
9,TestClient-9-4ba1c4e5-9b7f-49dd-bae7-20a1bee85d5f-af652848-a422-4b61-893f-8d11a0d9d16c,31.45718574523925,LN2,Different Super-Peer
1,TestClient-1-a0891d5c-5e2e-43fa-9ffc-30f2d48358a7-500a5544-2ffc-4efc-97fe-8a9643ef8387,38.67554664611816,LN3,Different Super-Peer
4,TestClient-4-0613ec28-a0e9-4b89-9514-8e123392ad61-b52a6633-01e3-48f8-b56e-877c3a38864b,25.10571479797364,LN2,Different Super-Peer
6,TestClient-6-9f4bb06b-6bb9-4b69-833a-6133e84626af-db97e0d6-6325-4a8a-bc68-a967dd0003f6,24.67894554138184,LN2,Different Super-Peer
3,TestClient-3-6927be49-9204-4b77-986c-9fec6826173e-1963845f-a8a3-436b-81af-5ec0f0669973,22.52769470214844,LN2,Different Super-Peer
8,TestClient-8-a61707ac-1ccb-430c-94db-eb8adf7d159a-1923d749-1e85-464a-bd7e-dc91fbc20c53,22.931575775146484,LN2,Different Super-Peer
5,TestClient-5-33789866-049b-487c-b584-4d8bc5247e06-a6862d37-081e-43df-9c94-82dea37ceff7,25.022506713867188,LN2,Different Super-Peer
1,TestClient-1-a0891d5c-5e2e-43fa-9ffc-30f2d48358a7-82c7da6d-04a0-47fb-84de-ae2f9e5af70e,26.57151222229004,LN2,Same Super-Peer
7,TestClient-7-1eda5332-4763-4197-a795-5b25fe8799c5-f90b6dea-4aaa-43fa-bf4d-232f0761a614,28.657197952270508,LN2,Different Super-Peer
2,TestClient-2-dc50c150-2e4b-418a-9461-f85772da53f3-8a4a41ff-708a-454e-a284-634d5cf77ce9,29.117107391357425,LN2,Different Super-Peer
8,TestClient-8-a61707ac-1ccb-430c-94db-eb8adf7d159a-a3a2439e-2291-4ad9-a852-5495c46124ff,55.93729019165039,LN3,Different Super-Peer
9,TestClient-9-4ba1c4e5-9b7f-49dd-bae7-20a1bee85d5f-3854176d-9759-40f7-9f8e-e1704feb8fb4,40.287017822265625,LN2,Different Super-Peer
10,TestClient-10-3dfb2be0-6285-4963-b376-f82f26ca4cf5-83bc6d28-9e70-4be3-b87e-bcc4cb381007,53.30491065979004,LN2,Different Super-Peer
4,TestClient-4-0613ec28-a0e9-4b89-9514-8e123392ad61-6d4e9292-c0df-4945-befb-0b6b4ad8e7bd,35.82119941711426,LN2,Different Super-Peer
7,TestClient-7-1eda5332-4763-4197-a795-5b25fe8799c5-528a7bb2-1bee-42ce-8451-149229a9bd0c,63.03000450134277,LN3,Different Super-Peer
2,TestClient-2-dc50c150-2e4b-418a-9461-f85772da53f3-cc15a7ed-67a0-4c1e-aba6-4e3f3ff545c2,61.47313117980957,LN3,Same Super-Peer
6,TestClient-6-9f4bb06b-6bb9-4b69-833a-6133e84626af-60ccb868-fb12-4dfd-a0c0-11c467eab594,36.82804107666016,LN2,Different Super-Peer
3,TestClient-3-6927be49-9204-4b77-986c-9fec6826173e-ae6806ee-60d1-4c4d-ab1b-35e3e20a9e90,35.21871566772461,LN2,Different Super-Peer
8,TestClient-8-a61707ac-1ccb-430c-94db-eb8adf7d159a-4e2d9d0f-aadc-41f9-ab86-a194a31718f4,35.199880599975586,LN2,Different Super-Peer
5,TestClient-5-33789866-049b-487c-b584-4d8bc5247e06-8c45f71a-12b0-4ecf-a43c-d5f2bc63c841,36.18478775024414,LN2,Different Super-Peer
1,TestClient-1-a0891d5c-5e2e-43fa-9ffc-30f2d48358a7-b79c69a8-c32e-43be-93d2-6b43cdd1b27a,36.69977188110352,LN2,Same Super-Peer
7,TestClient-7-1eda5332-4763-4197-a795-5b25fe8799c5-5d1c02bf-f53d-4dfc-a850-3036085d604e,38.727760314941406,LN2,Different Super-Peer
2,TestClient-2-dc50c150-2e4b-418a-9461-f85772da53f3-236ac6f5-1f25-4861-8e27-70cc3e1c99b2,37.16444969177246,LN2,Different Super-Peer
9,TestClient-9-4ba1c4e5-9b7f-49dd-bae7-20a1bee85d5f-c88a224c-0007-42e1-8351-47350ae37c8a,47.569990158081055,LN2,Different Super-Peer
10,TestClient-10-3dfb2be0-6285-4963-b376-f82f26ca4cf5-debf8271-d2d9-406d-9ab4-1051d2063ede,60.14299392700195,LN2,Different Super-Peer
