Number of Clients,Average Response Time (ms)
1,0.20383715629577637
2,1.2368541955947876
3,3.4447264671325684
4,153.0866903066635
5,514.7649520635605
6,885.8109933137894
7,1636.9877791404724
8,1545.011836886406
9,1775.3618248438431
10,2149.926775097847
