Number of Clients,Average Response Time (ms)
1,2.279731035232544
2,1.152767539024353
3,3.6611708998680115
4,151.5848763783773
5,510.95697954297066
6,878.515123963356
7,1652.318747440974
8,1534.6667633737836
9,1816.9514379693221
10,2146.651497417026
